FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Annuitant 1 ID,20,7,26,A/N,,,
Annuitant 1 ID Qualifier,2,27,28,A/N,34,,=  Social Security Number
"",,,,,A3,,=  Non-Resident Alien Number
"",,,,,FI,,=  Federal Taxpayer’s Identification
"",,,,,,,Number
"",,,,,SB,,=  Canadian Social Insurance Number
Annuitant 2 Name 1,50,29,78,A/N,,,
Filler,2,79,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Logical Sequence Number,2,5,6,NUM,21,,
Annuitant 2 Name 2,55,7,61,A/N,,,
Filler,19,62,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Number,,,,,,,
Logical Sequence,2,5,6,NUM,22,,
Number,,,,,,,
Annuitant 2 ID,20,7,26,A/N,,,
Annuitant 2 ID Qualifier,2,27,28,A/N,34,=,Social Security Number
"",,,,,A3,=,Non-Resident Alien Number
"",,,,,FI,=,Federal Taxpayer’s Identification
"",,,,,,,Number
"",,,,,SB,=,Canadian Social Insurance Number
IRS Qualification Code,4,29,32,A/N,56,,=  403b Transfers Only
"",,,,,1030,,=  401k
"",,,,,1040,,= Solo 401k
"",,,,,1070,,=  501c3
"",,,,,1075,,=  501c9 / Health Reimbursement
"",,,,,1080,,=  457 Deferred Compensation
"",,,,,1090,,=  HR10/Keogh
"",,,,,1314,,= 412i Inherited IRA Plan
"",,,,,1315,,=  Non-Qualified Stretch Plan
"",,,,,1316,,=  Qualified Stretch (inherited) ROTH
"",,,,,,,Plan
"",,,,,2000,,=  IRA
"",,,,,2005,,=  IRA Rollover
"",,,,,2010,,=  Non-qualified
"",,,,,2040,,=  Pension Plan
"",,,,,2050,,=  SAR/SEP
"",,,,,2060,,=  SEP-IRA
"",,,,,2070,,=  IRA Spousal
"",,,,,2075,,=  IRA Transfer
"",,,,,2090,,=  Cash Balance Plan-Defined
"",,,,,,,Contributions
"",,,,,3000,,=  Cash Balance Plan-Defined Benefit
"",,,,,3010,,= Solo Defined Benefit
"",,,,,3045,,=  403b
"",,,,,3050,,=  401g  (formerly 403g)
"",,,,,3055,,= 412 (i) Plan
"",,,,,3210,,=  Simple IRA
"",,,,,3215,,=  Roth IRA
"",,,,,3216,,= Roth 401k
"",,,,,3217,,= Roth 403b
"",,,,,3220,,=  Educational IRA
"",,,,,3230,,=  Profit Sharing Plan
"",,,,,3235,,=  Money Purchase Plan
"",,,,,3300,,= Welfare Benefit Plan (419 Plan)
"",,,,,3400,,= 7702b / Long Term Care
"",,,,,4000,,=  No U.S. Taxation (used for Offshore
"",,,,,,,Products)
Contract Number,30,33,62,A/N,,,
FIELD NAME,LENGTH,START,END,TYPE,,COMMENTS
Contract Value,16,63,78,A/N,Format:,
"",,,,,"99,999,999,999,999.99",
"",,,,,COBOL 9(14)v9(2),
Filler,2,79,80,A/N,Reserved for future use—spaces,
"",,,,,END OF RECORD,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Logical Sequence Number,2,5,6,NUM,23,,
Contract Value As-Of Date,8,7,14,A/N,Format: CCYYMMDD,,
Filler,4,15,18,A/N,Reserved for future use—spaces,,
Delivering Associated Firm ID,4,19,22,A/N,,,
Filler,58,23,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Logical Sequence Number,2,5,6,NUM,24,,
Filler,74,7,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
FIELD,,,,,
NAME,LENGTH,START,END,TYPE,COMMENTS
"",,,,,Records 25 through 30 repeat record layout of record 24 and are
"",,,,,reserved for future use
"",,,,,END OF RECORD
FIELD NAME,LENGTH,START,END,TYPE,COMMENTS
Foreign Asset Data,,,,,Used when Settling Location is
"",,,,,‘55’
Record Type,1,1,1,A/N,E  =  End of Day Transaction
"",,,,,MRO
"",,,,,M  =  Multi-Cycle Transaction
"",,,,,MRO
Record Subtype,1,2,2,A/N,A  =  Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence
"",,,,,Number + 1
Logical Sequence Number,2,5,6,NUM,10
SEDOL Number Status,1,7,7,A/N,Values for Status Code:
"",,,,,0 = Valid
"",,,,,1 =  Participant
"",,,,,Changed
"",,,,,2 = System Changed
"",,,,,3 = Error
"",,,,,Space = No Change
CINS Number Status,1,8,8,A/N,See status code values above
Delivering Firm Settlement Instruction Line,1,9,9,A/N,See status code values above
1 Status,,,,,
Delivering Firm Settlement Instruction Line,1,10,10,A/N,See status code values above
2 Status,,,,,
Delivering Firm Settlement Instruction Line,1,11,11,A/N,See status code values above
3 Status,,,,,
Delivering Firm Settlement Instruction Line,1,12,12,A/N,See status code values above
4 Status,,,,,
Delivering Firm Settlement Instruction Line,1,13,13,A/N,See status code values above
5 Status,,,,,
Filler,14,14,27,A/N,
SEDOL Number,7,28,34,A/N,
CINS Number,9,35,43,A/N,
Delivering Firm Settlement Instruction Line,35,44,78,A/N,
1,,,,,
Filler,2,79,80,A/N,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction
"",,,,,,,MRO
"",,,,,M,=,Multi-Cycle Transaction
"",,,,,,,MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number +,,
"",,,,,1,,
Logical Sequence Number,2,5,6,NUM,11,,
Delivering Firm Settlement Instruction,35,7,41,A/N,,,
Line 2,,,,,,,
Delivering Firm Settlement Instruction,35,42,76,A/N,,,
Line 3,,,,,,,
Filler,4,77,80,A/N,,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction
"",,,,,,,MRO
"",,,,,M,=,Multi-Cycle Transaction
"",,,,,,,MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number +,,
"",,,,,1,,
Logical Sequence Number,2,5,6,NUM,12,,
Delivering Firm Settlement Instruction,35,7,41,A/N,,,
Line 4,,,,,,,
Delivering Firm Settlement Instruction,35,42,76,A/N,,,
Line 5,,,,,,,
Filler,4,77,80,A/N,,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Logical Sequence Number,2,5,6,NUM,13,,
Filler,74,7,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,1,1,1,A/N,E,=,End of Day Transaction MRO
"",,,,,M,=,Multi-Cycle Transaction MRO
Record Subtype,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence Number + 1,,
Logical Sequence Number,2,5,6,NUM,14,,
Filler,74,7,80,A/N,Reserved for future use—spaces,,
"",,,,,END OF RECORD,,
